"If protagonist Is alone , is helshe their own worst enemy? the the fuck not?",
Can you see the strings?,
What to murder: Your verbosity.,
Highlight the achilles.,
Add by subtracting.,
Shape by murdering love letters to self.,
Where's the Protas's shadow?,
Force interaction.,
Leave them in a cabin full of hunting gear and no beer.,
Highlight ldiosicracies :,
Pull out early.,
Rethink character motives),
Map the unresolved.,
Wing it it move on.,
"Let them talk, then cut the flab,",
Does your char really need that vice?,
Let a character judge another.,
"Pop never ate itself, did it?",
Someone is wearing pants and not necessarily a man or human.,
"Read alone, die alone.",
Wrap this around a dinosaur,
"Dont use god's machine unles one of your charctors is god itself even then, try not to resort to ""backpedaling all velocity of narrative to zero.",
"Women can act like men, too.",
"Men can act like women, too.",
Never leave them hanging unless you left Chekov nearby.,
Leave em hanging only if you know you got more to say.,
Listen to white noise.,
Highlight the mundane into mulch.,
Why does your xhar care? Or not? And how can I fuether their misery from either?,
"Could they get by without tall, dark, and sparkily?",
"All knowing, all seeing gun.",
Placeholders are fine as long as you tag them as such.,
"Backstory belongs on backcover or woven into character. Spell out nothing but vagness, if at all possible.",
Form of feline.,
"After the inciting moment, If you gave your characters free reign, how would he/she/it/they tie up loose ends?",
Time reveals all guns.,
NO matter what is happening in the story. All your prog is concerned about is getting home to kitty.,
Has Chekov's gun been hiding long enough?,
"If your char has to goto the bathroom if better involve 1 of 3 things: sex, drugs, or ramen eating.",
Preach only if it's non-fiction.,
Appear to break the fourth wall but don't.,
Less is refined.,
Some aspect is  bible-thick….,
Mini skirmishes arise.,
Hide in bacon.,
Have they realized they let go?,
Deus Ex is only good in one format: a video game.,
Virtue is in the eye of the reader. Subjective virtue abound.,
Are there saucer burritos?,
Chimichangas fill the cake.,
"Chiuajuas make a good meat substitute, especially for unsuspecting customers.",
Time is of the easence for only one: the reader.,
"If you're bored at this part, maybe they are, too.",
Eviscerate the saints. Indemnify the transgressor.,
Vica-versa that shit.,
